timestamp,AA,UA,B6,OO,AS,NK,WN,DL,HA
11/29/16,46.89,69.72,20.7,37.6,82.78,54.52,47.24,48.59,52.5
11/28/16,46.5,69.25,20.6,37,82.43,53.54,47.52,48.49,51.95
11/25/16,46.82,70.09,21.06,37.2,82.75,54.22,47.45,49.24,52.45
11/23/16,46.34,69.88,20.98,37.2,82.96,54.3,47.37,49.21,52.35
11/22/16,46.08,69.5,20.72,36.75,81.53,53.6,47.1,48.9,52.1
11/21/16,46.08,68.99,20.67,36.35,78.78,52.9,47.36,48.61,50.5
11/18/16,46.26,68.29,20.73,35.85,79.47,53.74,47.06,48.9,50.4
11/17/16,45.83,67.86,20.74,36.2,78.85,53.87,46.69,48.51,49
11/16/16,44.45,65.5,20.21,35.15,77.77,53.31,45.85,47.38,47.7
11/15/16,44.76,66.06,20.44,35.75,78.24,52.88,46.25,47.65,46.6
11/14/16,43.4,62.94,19.73,34.9,77.83,53.39,45.35,47.47,47.35
11/11/16,42.93,60.25,19.25,34.05,75.23,51.9,43.84,46.38,46.55
11/10/16,42.3,59.94,19.2,33.15,74.97,51.48,43.64,45.95,46.35
11/9/16,42.41,60.13,18.47,31.75,73.18,49.63,42.37,45.25,47.75
11/8/16,41.7,59.31,18.25,30.2,72.71,48.24,41.93,44.53,47.575
11/7/16,41.49,58.53,17.85,30.25,72.57,47.63,41.57,44.21,46.95
11/4/16,39.74,57.23,17.01,29.55,70.26,47.02,40.38,42.88,45.5
11/3/16,39.38,55.94,16.93,28.9,69.66,46.98,39.7,41.92,44.45
11/2/16,39.71,56.14,16.96,29.45,70.96,47.06,39.61,41.93,44.9
11/1/16,39.8,56,17.28,29.3,71.43,47.82,39.68,41.88,45.2
10/31/16,40.6,56.23,17.48,30.15,72.22,47.93,40.05,41.77,45.025
10/28/16,40.06,55.11,17.26,29.4,71.78,48.05,39.18,41.34,44.9
10/27/16,39.91,54.42,17.36,29.25,71.12,48.24,39.24,41.47,45.39
10/26/16,39.32,53.98,17.55,29.25,71.13,48.09,38.4,41.4,45.77
10/25/16,39.69,54.63,18.07,29.95,72.4,48.66,41.95,41.21,46.52
10/24/16,39.83,55.04,18.75,29.95,73.61,46.84,42.33,41.37,46.81
10/21/16,39.9,55.6,18.57,30.1,74.56,47.51,42.43,41.17,47.69
10/20/16,40.59,56.57,18.6,30.2,75.29,47.5,42.29,41.46,47.77
10/19/16,40.63,55.44,18.24,29.5,73.46,47.01,42.25,40.9,47.91
10/18/16,39.35,53.68,17.78,28.65,72.11,45.2,41.68,39.46,49.1
10/17/16,38.58,53.03,17.77,28.15,71.94,43.82,41.24,39.35,48.34
10/14/16,38.65,53.2,17.84,28.25,72.31,43.78,41.32,40.04,48.89
10/13/16,39.24,53.69,18.22,28.9,72.96,43.58,41.38,40.01,49.37
10/12/16,37.38,52.88,17.77,28.5,70.43,42.17,40.01,39.27,48.35
10/11/16,38.2,53.52,17.86,28.35,69.33,42.12,39.79,38.94,48.12
10/10/16,38.89,54.2,17.84,29,69.91,42.88,39.77,39.77,49.59
10/7/16,37.73,52.82,17.39,28.5,68.11,42.24,38.47,38.95,49.5
10/6/16,38.17,53.98,17.62,28.52,69.09,42.99,39.17,39.94,50.82
10/5/16,37.87,53.82,17.86,28.06,68.31,43.16,39.1,40.32,50.83
10/4/16,37.63,53.73,17.83,27.89,68.71,43.64,39.16,40.15,50.63
10/3/16,37.7,53.25,17.66,27.7,67.09,43.74,39.74,39.98,49.99
