date,city,state,event_name
21/6/2017,Glastonbury,UK,Glastonbury Festival
22/6/2017,Glastonbury,UK,Glastonbury Festival
22/6/2017,Los Angeles,CA,BET Experience
23/6/2017,Glastonbury,UK,Glastonbury Festival
23/6/2017,Los Angeles,CA,BET Experience
23/6/2017,Rochester,NY,Rochester International Jazz Festival
23/6/2017,Chicago,IL,Country Lake Shake
23/6/2017,North Adams,MA,Solid Sound
23/6/2017,Waterford,MS,North Mississippi Hill Country Picnic
24/6/2017,Glastonbury,UK,Glastonbury Festival
24/6/2017,Los Angeles,CA,BET Experience
24/6/2017,Rochester,NY,Rochester International Jazz Festival
24/6/2017,Chicago,IL,Country Lake Shake
24/6/2017,North Adams,MA,Solid Sound
24/6/2017,Waterford,MS,North Mississippi Hill Country Picnic
24/6/2017,Pasadena,CA,Arroyo Seco Weekend
24/6/2017,Saratoga,NY,Saratoga Jazz Festival
25/6/2017,Glastonbury,UK,Glastonbury Festival
25/6/2017,Los Angeles,CA,BET Experience
25/6/2017,Rochester,NY,Rochester International Jazz Festival
25/6/2017,Chicago,IL,Country Lake Shake
25/6/2017,North Adams,MA,Solid Sound
25/6/2017,Pasadena,CA,Arroyo Seco Weekend
25/6/2017,Saratoga,NY,Saratoga Jazz Festival
25/6/2017,New York,NY,Summer Fancy Food Show
26/6/2017,Rochester,NY,Rochester International Jazz Festival
26/6/2017,New York,NY,Summer Fancy Food Show
26/6/2017,Los Angeles,CA,Anti Piracy and Content Protection Summit
26/6/2017,Nashville,TN,K LOVE Fan Awards
27/6/2017,Rochester,NY,Rochester International Jazz Festival
27/6/2017,New York,NY,Summer Fancy Food Show
27/6/2017,Los Angeles,CA,Anti Piracy and Content Protection Summit
27/6/2017,Nashville,TN,K LOVE Fan Awards
28/6/2017,Rochester,NY,Rochester International Jazz Festival
28/6/2017,Los Angeles,CA,Anti Piracy and Content Protection Summit
28/6/2017,Nashville,TN,K LOVE Fan Awards
28/6/2017,Milwaukee,WI,Summerfest
29/6/2017,Rochester,NY,Rochester International Jazz Festival
29/6/2017,Milwaukee,WI,Summerfest
29/6/2017,Washington,DC,Smithsonian Folklife Festival
29/6/2017,New Orleans,LA,Essence Music Festival
30/6/2017,Rochester,NY,Rochester International Jazz Festival
30/6/2017,Milwaukee,WI,Summerfest
30/6/2017,Washington,DC,Smithsonian Folklife Festival
30/6/2017,New Orleans,LA,Essence Music Festival
1/7/17,Rochester,NY,Rochester International Jazz Festival
1/7/17,Milwaukee,WI,Summerfest
1/7/17,Washington,DC,Smithsonian Folklife Festival
1/7/17,New Orleans,LA,Essence Music Festival
2/7/17,Milwaukee,WI,Summerfest
2/7/17,Washington,DC,Smithsonian Folklife Festival
2/7/17,New Orleans,LA,Essence Music Festival
2/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
3/7/17,Washington,DC,Smithsonian Folklife Festival
3/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
4/7/17,Washington,DC,Smithsonian Folklife Festival
4/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
4/7/17,Milwaukee,WI,Summerfest
5/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
5/7/17,Milwaukee,WI,Summerfest
6/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
6/7/17,Milwaukee,WI,Summerfest
6/7/17,Washington,DC,Smithsonian Folklife Festival
6/7/17,Beltsville,MD,Independent Gospel Artist Alliance Conference
7/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
7/7/17,Milwaukee,WI,Summerfest
7/7/17,Washington,DC,Smithsonian Folklife Festival
7/7/17,Beltsville,MD,Independent Gospel Artist Alliance Conference
8/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
8/7/17,Milwaukee,WI,Summerfest
8/7/17,Washington,DC,Smithsonian Folklife Festival
8/7/17,Beltsville,MD,Independent Gospel Artist Alliance Conference
8/7/17,Queens,NY,Louis Armstrong‰Ûªs Wonderful World Festival
9/7/17,Las Vegas,NV,Barbershop Harmony Society International Convention
9/7/17,Milwaukee,WI,Summerfest
9/7/17,Washington,DC,Smithsonian Folklife Festival
11/7/17,Las Vegas,NV,Ticket Summit
11/7/17,Miami,FL,MLB All Star Game
12/7/17,Las Vegas,NV,Ticket Summit
12/7/17,Okemah,OK,Woody Guthrie Folk Festival
12/7/17,Los Angeles,CA,The ESPY Awards
13/7/2017,Las Vegas,NV,Ticket Summit
13/7/2017,Okemah,OK,Woody Guthrie Folk Festival
13/7/2017,Nashville,TN,Summer NAMM
13/7/2017,Los Angeles,CA,Variety Sports & Entertainment Summit
14/7/2017,Okemah,OK,Woody Guthrie Folk Festival
14/7/2017,Nashville,TN,Summer NAMM
14/7/2017,Louisville,KY,Forecastle Festival
14/7/2017,Greenfield,MA,Green River Festival
14/7/2017,Chicago,IL,Pitchfork Music Festival
14/7/2017,Chicago,IL,Windy City Smokeout
14/7/2017,Midland,TX,Tall City Blues Fest
15/7/2017,Okemah,OK,Woody Guthrie Folk Festival
15/7/2017,Nashville,TN,Summer NAMM
15/7/2017,Louisville,KY,Forecastle Festival
15/7/2017,Greenfield,MA,Green River Festival
15/7/2017,Chicago,IL,Pitchfork Music Festival
15/7/2017,Chicago,IL,Windy City Smokeout
15/7/2017,Midland,TX,Tall City Blues Fest
16/7/2017,Okemah,OK,Woody Guthrie Folk Festival
16/7/2017,Louisville,KY,Forecastle Festival
16/7/2017,Greenfield,MA,Green River Festival
16/7/2017,Chicago,IL,Pitchfork Music Festival
16/7/2017,Chicago,IL,Windy City Smokeout
17/7/2017,Aspen,CO,Fortune Brainstorm TECH
18/7/2017,Aspen,CO,Fortune Brainstorm TECH
19/7/2017,Aspen,CO,Fortune Brainstorm TECH
20/7/2017,San Diego,CA,Comic Con International
20/7/2017,Twin Lakes,WI,Country Thunder Music Festival Wisconsin
21/7/2017,San Diego,CA,Comic Con International
21/7/2017,Twin Lakes,WI,Country Thunder Music Festival Wisconsin
21/7/2017,Brooklyn,MI,Faster Horses Festival
21/7/2017,Los Angeles,CA,FYF Fest
22/7/2017,San Diego,CA,Comic Con International
22/7/2017,Twin Lakes,WI,Country Thunder Music Festival Wisconsin
22/7/2017,Brooklyn,MI,Faster Horses Festival
22/7/2017,Los Angeles,CA,FYF Fest
22/7/2017,New York,NY,OZY Fusion Fest
23/7/2017,San Diego,CA,Comic Con International
23/7/2017,Twin Lakes,WI,Country Thunder Music Festival Wisconsin
23/7/2017,Brooklyn,MI,Faster Horses Festival
23/7/2017,Los Angeles,CA,FYF Fest
23/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
24/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
25/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
25/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
26/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
26/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
26/7/2017,Floyd,VA,FloydFest Music Festival
27/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
27/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
27/7/2017,Floyd,VA,FloydFest Music Festival
28/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
28/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
28/7/2017,Floyd,VA,FloydFest Music Festival
28/7/2017,Newport,RI,Newport Folk Festival
28/7/2017,New York,NY,Panorama Festival
28/7/2017,George,WA,Watershed Music Festival
28/7/2017,Camden,NJ,XPoNetial Music Fest
29/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
29/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
29/7/2017,Floyd,VA,FloydFest Music Festival
29/7/2017,Newport,RI,Newport Folk Festival
29/7/2017,New York,NY,Panorama Festival
29/7/2017,George,WA,Watershed Music Festival
29/7/2017,Camden,NJ,XPoNetial Music Fest
30/7/2017,Nashville,TN,Barbershop Harmony Society Harmony University
30/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
30/7/2017,Floyd,VA,FloydFest Music Festival
30/7/2017,Newport,RI,Newport Folk Festival
30/7/2017,New York,NY,Panorama Festival
30/7/2017,George,WA,Watershed Music Festival
30/7/2017,Camden,NJ,XPoNetial Music Fest
31/7/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
1/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
2/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
3/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
3/8/17,Chicago,IL,Lollapalooza
3/8/17,Happy Valley,OR,Pickathon
3/8/17,New Orleans,LA,Satchmo Summerfest
4/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
4/8/17,Chicago,IL,Lollapalooza
4/8/17,Happy Valley,OR,Pickathon
4/8/17,New Orleans,LA,Satchmo Summerfest
4/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
4/8/17,Newport,RI,Newport Jazz Festival
5/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
5/8/17,Chicago,IL,Lollapalooza
5/8/17,Happy Valley,OR,Pickathon
5/8/17,New Orleans,LA,Satchmo Summerfest
5/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
5/8/17,Newport,RI,Newport Jazz Festival
5/8/17,Los Angeles,CA,HARD Summer Festival
6/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
6/8/17,Chicago,IL,Lollapalooza
6/8/17,Happy Valley,OR,Pickathon
6/8/17,New Orleans,LA,Satchmo Summerfest
6/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
6/8/17,Newport,RI,Newport Jazz Festival
6/8/17,Los Angeles,CA,HARD Summer Festival
7/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
7/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
7/8/17,Nashville,TN,VenueConnect
8/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
8/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
8/8/17,Nashville,TN,VenueConnect
9/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
9/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
9/8/17,Nashville,TN,VenueConnect
9/8/17,Boulder,CO,FMQB Triple A Conference
10/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
10/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
10/8/17,Nashville,TN,VenueConnect
10/8/17,Boulder,CO,FMQB Triple A Conference
10/8/17,Los Angeles,CA,Sundance NEXT Festival
11/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
11/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
11/8/17,Boulder,CO,FMQB Triple A Conference
11/8/17,Los Angeles,CA,Sundance NEXT Festival
11/8/17,Big Sky,MT,Big Sky Classical Music Festival
11/8/17,San Francisco,CA,Outside Lands Festival
11/8/17,Clarksdale,MS,Sunflower River Blues & Gospel Festival
12/8/17,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
12/8/17,Sturgis,SD,Sturgis Buffalo Chip Rally Concert Series
12/8/17,Boulder,CO,FMQB Triple A Conference
12/8/17,Los Angeles,CA,Sundance NEXT Festival
12/8/17,Big Sky,MT,Big Sky Classical Music Festival
12/8/17,San Francisco,CA,Outside Lands Festival
12/8/17,Clarksdale,MS,Sunflower River Blues & Gospel Festival
12/8/17,New York,NY,AmericanaFest NYC at Lincoln Center
12/8/17,Missoula,MT,Travelers‰Ûª Rest
13/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
13/8/2017,Los Angeles,CA,Sundance NEXT Festival
13/8/2017,Big Sky,MT,Big Sky Classical Music Festival
13/8/2017,San Francisco,CA,Outside Lands Festival
13/8/2017,Clarksdale,MS,Sunflower River Blues & Gospel Festival
13/8/2017,New York,NY,AmericanaFest NYC at Lincoln Center
13/8/2017,Missoula,MT,Travelers‰Ûª Rest
13/8/2017,Los Angeles,CA,Teen Choice Awards
14/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
14/8/2017,Atlantic City,NJ,DJ Expo
15/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
15/8/2017,Atlantic City,NJ,DJ Expo
16/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
16/8/2017,Atlantic City,NJ,DJ Expo
17/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
17/8/2017,Atlantic City,NJ,DJ Expo
17/8/2017,Brecon Beacons,UK,Green Man Festival
18/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
18/8/2017,Brecon Beacons,UK,Green Man Festival
18/8/2017,Philadelphia,PA,Philadelphia Folk Festival
19/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
19/8/2017,Brecon Beacons,UK,Green Man Festival
19/8/2017,Philadelphia,PA,Philadelphia Folk Festival
19/8/2017,Wantagh,NY,Billboard Hot 100 Festival
20/8/2017,New York,NY,Lincoln Center‰Ûªs Mostly Mozart Festival
20/8/2017,Brecon Beacons,UK,Green Man Festival
20/8/2017,Philadelphia,PA,Philadelphia Folk Festival
20/8/2017,Wantagh,NY,Billboard Hot 100 Festival
23/8/2017,Nashville,TN,ACM Honors Ceremony
24/8/2017,Fayetteville,AR,Fayetteville Roots Festival
24/8/2017,Arrington,VA,Lockn‰Ûª Music Festival
25/8/2017,Fayetteville,AR,Fayetteville Roots Festival
25/8/2017,Arrington,VA,Lockn‰Ûª Music Festival
25/8/2017,Nashville,TN,DIY Musician Conference
25/8/2017,Reading,UK,Reading and Leeds Festivals
26/8/2017,Fayetteville,AR,Fayetteville Roots Festival
26/8/2017,Arrington,VA,Lockn‰Ûª Music Festival
26/8/2017,Nashville,TN,DIY Musician Conference
26/8/2017,Reading,UK,Reading and Leeds Festivals
26/8/2017,Brooklyn,NY,Afropunk Fest Brooklyn
26/8/2017,Portland,OR,MusicfestNW
27/8/2017,Fayetteville,AR,Fayetteville Roots Festival
27/8/2017,Arrington,VA,Lockn‰Ûª Music Festival
27/8/2017,Nashville,TN,DIY Musician Conference
27/8/2017,Reading,UK,Reading and Leeds Festivals
27/8/2017,Brooklyn,NY,Afropunk Fest Brooklyn
27/8/2017,Portland,OR,MusicfestNW
27/8/2017,Black Rock Desert,NV,Burning Man
27/8/2017,Inglewood,CA,MTV Video Music Awards
28/8/2017,Black Rock Desert,NV,Burning Man
28/8/2017,Queens,NY,US Open (Tennis)
29/8/2017,Black Rock Desert,NV,Burning Man
29/8/2017,Queens,NY,US Open (Tennis)
30/8/2017,Black Rock Desert,NV,Burning Man
30/8/2017,Queens,NY,US Open (Tennis)
30/8/2017,Telluride,CO,Telluride Film Festival
30/8/2017,Charleston,SC,Charleston Music Confab
31/8/2017,Black Rock Desert,NV,Burning Man
31/8/2017,Queens,NY,US Open (Tennis)
31/8/2017,Telluride,CO,Telluride Film Festival
31/8/2017,Charleston,SC,Charleston Music Confab
1/9/17,Black Rock Desert,NV,Burning Man
1/9/17,Queens,NY,US Open (Tennis)
1/9/17,Telluride,CO,Telluride Film Festival
1/9/17,Charleston,SC,Charleston Music Confab
1/9/17,Miami,FL,Coast 2 Coast Convention
1/9/17,Detroit,MI,Detroit Jazz Festival
1/9/17,Seattle,WA,Bumbershoot Music & Arts Festival
1/9/17,New York,NY,Electric Zoo
1/9/17,Los Angeles,CA,Los Angeles Times‰Ûª The Taste
1/9/17,Chicago,IL,North Coast Music Festival
2/9/17,Black Rock Desert,NV,Burning Man
2/9/17,Queens,NY,US Open (Tennis)
2/9/17,Telluride,CO,Telluride Film Festival
2/9/17,Charleston,SC,Charleston Music Confab
2/9/17,Miami,FL,Coast 2 Coast Convention
2/9/17,Detroit,MI,Detroit Jazz Festival
2/9/17,Seattle,WA,Bumbershoot Music & Arts Festival
2/9/17,New York,NY,Electric Zoo
2/9/17,Los Angeles,CA,Los Angeles Times‰Ûª The Taste
2/9/17,Chicago,IL,North Coast Music Festival
2/9/17,Philadelphia,PA,Made In America Festival
2/9/17,Washington,DC,National Book Festival
3/9/17,Black Rock Desert,NV,Burning Man
3/9/17,Queens,NY,US Open (Tennis)
3/9/17,Telluride,CO,Telluride Film Festival
3/9/17,Charleston,SC,Charleston Music Confab
3/9/17,Miami,FL,Coast 2 Coast Convention
3/9/17,Detroit,MI,Detroit Jazz Festival
3/9/17,Seattle,WA,Bumbershoot Music & Arts Festival
3/9/17,New York,NY,Electric Zoo
3/9/17,Los Angeles,CA,Los Angeles Times‰Ûª The Taste
3/9/17,Chicago,IL,North Coast Music Festival
3/9/17,Philadelphia,PA,Made In America Festival
3/9/17,Milwaukee,WI,Big Gig BBQ
3/9/17,Milwaukee,WI,Big Gig BBQ
4/9/17,Black Rock Desert,NV,Burning Man
4/9/17,Queens,NY,US Open (Tennis)
4/9/17,Telluride,CO,Telluride Film Festival
4/9/17,Miami,FL,Coast 2 Coast Convention
4/9/17,Detroit,MI,Detroit Jazz Festival
5/9/17,Queens,NY,US Open (Tennis)
5/9/17,Austin,TX,Radio Show
5/9/17,London,UK,AIM Independent Music Awards
6/9/17,Queens,NY,US Open (Tennis)
6/9/17,Austin,TX,Radio Show
7/9/17,Queens,NY,US Open (Tennis)
7/9/17,Austin,TX,Radio Show
7/9/17,New York,NY,New York Fashion Week (Spring/Summer 2018)
7/9/17,Isle of Wight,UK,Bestival
7/9/17,Las Vegas,NV,Big Blues Bender
7/9/17,Raleigh,NC,Hopscotch Music Festival
7/9/17,Foxborough,MA,NFL Season Kickoff Game
7/9/17,Los Angeles,CA,Variety‰Ûªs Entertainment & Technology Summit
8/9/17,Queens,NY,US Open (Tennis)
8/9/17,Austin,TX,Radio Show
8/9/17,New York,NY,New York Fashion Week (Spring/Summer 2018)
8/9/17,Isle of Wight,UK,Bestival
8/9/17,Las Vegas,NV,Big Blues Bender
8/9/17,Raleigh,NC,Hopscotch Music Festival
8/9/17,Dana Point,CA,Ohana Music Festival
9/9/17,Queens,NY,US Open (Tennis)
9/9/17,New York,NY,New York Fashion Week (Spring/Summer 2018)
9/9/17,Isle of Wight,UK,Bestival
9/9/17,Las Vegas,NV,Big Blues Bender
9/9/17,Raleigh,NC,Hopscotch Music Festival
9/9/17,Dana Point,CA,Ohana Music Festival
9/9/17,San Francisco,CA,West Coast Songwriters Conference
10/9/17,Queens,NY,US Open (Tennis)
10/9/17,New York,NY,New York Fashion Week (Spring/Summer 2018)
10/9/17,Isle of Wight,UK,Bestival
10/9/17,Las Vegas,NV,Big Blues Bender
10/9/17,Raleigh,NC,Hopscotch Music Festival
10/9/17,Dana Point,CA,Ohana Music Festival
10/9/17,San Francisco,CA,West Coast Songwriters Conference
11/9/17,New York,NY,New York Fashion Week (Spring/Summer 2018)
11/9/17,Brooklyn,NY,Brooklyn Book Festival
12/9/17,New York,NY,New York Fashion Week (Spring/Summer 2018)
12/9/17,Brooklyn,NY,Brooklyn Book Festival
12/9/17,Nashville,TN,Americana Music Festival and Conference
13/9/2017,New York,NY,New York Fashion Week (Spring/Summer 2018)
13/9/2017,Brooklyn,NY,Brooklyn Book Festival
13/9/2017,Nashville,TN,Americana Music Festival and Conference
13/9/2017,Montreal,QC,POP Montreal International Music Festival
13/9/2017,Nashville,TN,Americana Honors & Awards
13/9/2017,New York,NY,Intelligence Squared U.S. Fall Season Opening Debate
14/9/2017,New York,NY,New York Fashion Week (Spring/Summer 2018)
14/9/2017,Brooklyn,NY,Brooklyn Book Festival
14/9/2017,Nashville,TN,Americana Music Festival and Conference
14/9/2017,Montreal,QC,POP Montreal International Music Festival
14/9/2017,London,UK,Mercury Prize ‰Û÷Albums of the Year‰Ûª
15/9/2017,Brooklyn,NY,Brooklyn Book Festival
15/9/2017,Nashville,TN,Americana Music Festival and Conference
15/9/2017,Montreal,QC,POP Montreal International Music Festival
15/9/2017,Bristol,VA,Bristol Rhythm and Roots Reunion
15/9/2017,Chicago,IL,Riot Fest
15/9/2017,Queens,NY,The Meadows Music and Arts Festival
16/9/2017,Brooklyn,NY,Brooklyn Book Festival
16/9/2017,Nashville,TN,Americana Music Festival and Conference
16/9/2017,Montreal,QC,POP Montreal International Music Festival
16/9/2017,Bristol,VA,Bristol Rhythm and Roots Reunion
16/9/2017,Chicago,IL,Riot Fest
16/9/2017,Queens,NY,The Meadows Music and Arts Festival
16/9/2017,Atlanta,GA,Music Midtown
16/9/2017,Los Angeles,CA,Creative Arts Emmy Awards
16/9/2017,Burgettstown,PA,Farm Aid
17/9/2017,Brooklyn,NY,Brooklyn Book Festival
17/9/2017,Nashville,TN,Americana Music Festival and Conference
17/9/2017,Montreal,QC,POP Montreal International Music Festival
17/9/2017,Bristol,VA,Bristol Rhythm and Roots Reunion
17/9/2017,Chicago,IL,Riot Fest
17/9/2017,Queens,NY,The Meadows Music and Arts Festival
17/9/2017,Atlanta,GA,Music Midtown
17/9/2017,Brooklyn,NY,IFP Conference: Screen Forward
17/9/2017,Los Angeles,CA,Primetime Emmy Awards
18/9/2017,Brooklyn,NY,IFP Conference: Screen Forward
18/9/2017,San Francisco,CA,TechCrunch Disrupt
18/9/2017,Toronto,ON,Polaris Music Prize Gala
19/9/2017,Brooklyn,NY,IFP Conference: Screen Forward
19/9/2017,San Francisco,CA,TechCrunch Disrupt
20/9/2017,Brooklyn,NY,IFP Conference: Screen Forward
20/9/2017,San Francisco,CA,TechCrunch Disrupt
21/9/2017,Brooklyn,NY,IFP Conference: Screen Forward
21/9/2017,Dewey Beach,DE,Dewey Beach Music Conference
21/9/2017,Los Angeles,CA,Electronic Music Awards
22/9/2017,Dewey Beach,DE,Dewey Beach Music Conference
22/9/2017,Atlanta,GA,Imagine Music Festival
22/9/2017,Las Vegas,NV,Life Is Beautiful Festival
23/9/2017,Dewey Beach,DE,Dewey Beach Music Conference
23/9/2017,Atlanta,GA,Imagine Music Festival
23/9/2017,Las Vegas,NV,Life Is Beautiful Festival
23/9/2017,San Jose,CA,Alternative Press Expo
23/9/2017,Louisville,KY,Bourbon & Beyond Festival
23/9/2017,Cincinnati,OH,Midpoint Music Festival
23/9/2017,Franklin,TN,Pilgrimage Music & Cultural Festival
23/9/2017,Milwaukee,WI,Fromm Petfest
24/9/2017,Dewey Beach,DE,Dewey Beach Music Conference
24/9/2017,Atlanta,GA,Imagine Music Festival
24/9/2017,Las Vegas,NV,Life Is Beautiful Festival
24/9/2017,San Jose,CA,Alternative Press Expo
24/9/2017,Louisville,KY,Bourbon & Beyond Festival
24/9/2017,Cincinnati,OH,Midpoint Music Festival
24/9/2017,Franklin,TN,Pilgrimage Music & Cultural Festival
25/9/2017,New York,NY,New York Media Festival
26/9/2017,New York,NY,New York Media Festival
26/9/2017,Raleigh,NC,IBMA‰Ûªs World of Bluegrass
26/9/2017,Louisville,KY,IdeaFestival
27/9/2017,New York,NY,New York Media Festival
27/9/2017,Raleigh,NC,IBMA‰Ûªs World of Bluegrass
27/9/2017,Louisville,KY,IdeaFestival
27/9/2017,Austin,TX,Southwest Regional Folk Alliance Conference
28/9/2017,Raleigh,NC,IBMA‰Ûªs World of Bluegrass
28/9/2017,Louisville,KY,IdeaFestival
28/9/2017,Austin,TX,Southwest Regional Folk Alliance Conference
28/9/2017,New York,NY,New York Film Festival
28/9/2017,Raleigh,NC,International Bluegrass Music Awards
29/9/2017,Raleigh,NC,IBMA‰Ûªs World of Bluegrass
29/9/2017,Austin,TX,Southwest Regional Folk Alliance Conference
29/9/2017,New York,NY,New York Film Festival
29/9/2017,Las Vegas,NV,Route 91 Harvest Festival
30/9/2017,Raleigh,NC,IBMA‰Ûªs World of Bluegrass
30/9/2017,Austin,TX,Southwest Regional Folk Alliance Conference
30/9/2017,New York,NY,New York Film Festival
30/9/2017,Las Vegas,NV,Route 91 Harvest Festival
30/9/2017,New York,NY,Global Citizen Festival
30/9/2017,New York,NY,Modern Sky Festival NYC
1/10/17,Austin,TX,Southwest Regional Folk Alliance Conference
1/10/17,New York,NY,New York Film Festival
1/10/17,Las Vegas,NV,Route 91 Harvest Festival
2/10/17,New York,NY,New York Film Festival
3/10/17,New York,NY,New York Film Festival
4/10/17,New York,NY,New York Film Festival
4/10/17,Atlanta,GA,A3C Hip Hop Festival
4/10/17,New York,NY,Mondo.NYC
4/10/17,Los Angeles,CA,Production Music Conference
5/10/17,New York,NY,New York Film Festival
5/10/17,Atlanta,GA,A3C Hip Hop Festival
5/10/17,New York,NY,Mondo.NYC
5/10/17,Los Angeles,CA,Production Music Conference
5/10/17,New York,NY,New York Comic Con
5/10/17,Westminster,CO,Durango Songwriters Expo
5/10/17,New Orleans,LA,Ponderosa Stomp
5/10/17,New York,NY,News & Documentary Emmy Awards
6/10/17,New York,NY,New York Film Festival
6/10/17,Atlanta,GA,A3C Hip Hop Festival
6/10/17,New York,NY,Mondo.NYC
6/10/17,Los Angeles,CA,Production Music Conference
6/10/17,New York,NY,New York Comic Con
6/10/17,Westminster,CO,Durango Songwriters Expo
6/10/17,New Orleans,LA,Ponderosa Stomp
6/10/17,Austin,TX,Austin City Limits Music Festival weekend 1
6/10/17,San Francisco,CA,Hardly Strictly Bluegrass
6/10/17,New York,NY,The New Yorker Festival
6/10/17,Aberdeen,MS,Bukka White Blues Festival
6/10/17,Memphis,TN,MEMPHO Festival
7/10/17,New York,NY,New York Film Festival
7/10/17,Atlanta,GA,A3C Hip Hop Festival
7/10/17,New York,NY,Mondo.NYC
7/10/17,New York,NY,New York Comic Con
7/10/17,Westminster,CO,Durango Songwriters Expo
7/10/17,New Orleans,LA,Ponderosa Stomp
7/10/17,Austin,TX,Austin City Limits Music Festival weekend 1
7/10/17,San Francisco,CA,Hardly Strictly Bluegrass
7/10/17,New York,NY,The New Yorker Festival
7/10/17,Aberdeen,MS,Bukka White Blues Festival
7/10/17,Memphis,TN,MEMPHO Festival
8/10/17,New York,NY,New York Film Festival
8/10/17,Atlanta,GA,A3C Hip Hop Festival
8/10/17,New York,NY,Mondo.NYC
8/10/17,New York,NY,New York Comic Con
8/10/17,Austin,TX,Austin City Limits Music Festival weekend 1
8/10/17,San Francisco,CA,Hardly Strictly Bluegrass
8/10/17,New York,NY,The New Yorker Festival
9/10/17,New York,NY,New York Film Festival
10/10/17,New York,NY,New York Film Festival
10/10/17,Los Angeles,CA,Digital Hollywood Fall
10/10/17,Palm Desert,CA,Inc. 5000 Conference & Gala
11/10/17,New York,NY,New York Film Festival
11/10/17,Los Angeles,CA,Digital Hollywood Fall
11/10/17,Palm Desert,CA,Inc. 5000 Conference & Gala
12/10/17,New York,NY,New York Film Festival
12/10/17,Los Angeles,CA,Digital Hollywood Fall
12/10/17,Palm Desert,CA,Inc. 5000 Conference & Gala
12/10/17,Joshua Tree,CA,Desert Daze
12/10/17,New York,NY,NYC Food & Wine Festival
13/10/2017,New York,NY,New York Film Festival
13/10/2017,Joshua Tree,CA,Desert Daze
13/10/2017,New York,NY,NYC Food & Wine Festival
13/10/2017,Austin,TX,Austin City Limits Music Festival weekend 2
14/10/2017,New York,NY,New York Film Festival
14/10/2017,Joshua Tree,CA,Desert Daze
14/10/2017,New York,NY,NYC Food & Wine Festival
14/10/2017,Austin,TX,Austin City Limits Music Festival weekend 2
14/10/2017,Atlanta,GA,Afropunk Fest Atlanta
15/10/2017,New York,NY,New York Film Festival
15/10/2017,Joshua Tree,CA,Desert Daze
15/10/2017,New York,NY,NYC Food & Wine Festival
15/10/2017,Austin,TX,Austin City Limits Music Festival weekend 2
